index,Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HomeAway
4183,2017-18,2017-08-12T00:00:00Z,Crystal Palace,Huddersfield Town,0,3,Win,0,2,A,J Moss,14,8,4,6,12,9,7,19,1,3,0,0,Away
4197,2017-18,2017-08-20T00:00:00Z,Huddersfield Town,Newcastle United,1,0,Win,0,0,D,C Pawson,7,13,3,5,7,3,13,10,3,4,0,0,Home
4202,2017-18,2017-08-26T00:00:00Z,Huddersfield Town,Southampton,0,0,Draw,0,0,D,S Attwell,16,6,6,3,5,4,10,10,0,1,0,0,Home
4219,2017-18,2017-09-11T00:00:00Z,West Ham United,Huddersfield Town,2,0,Loose,0,0,D,K Friend,19,10,3,2,10,3,11,14,1,2,0,0,Away
4222,2017-18,2017-09-16T00:00:00Z,Huddersfield Town,Leicester City,1,1,Draw,0,0,D,J Moss,15,10,3,1,8,4,6,6,1,1,0,0,Home
4230,2017-18,2017-09-23T00:00:00Z,Burnley,Huddersfield Town,0,0,Draw,0,0,D,C Kavanagh,5,9,3,2,3,4,9,13,3,2,0,0,Away
4242,2017-18,2017-09-30T00:00:00Z,Huddersfield Town,Tottenham Hotspur,0,4,Loose,0,3,A,N Swarbrick,6,14,1,7,4,7,7,4,1,1,0,0,Home
4254,2017-18,2017-10-14T00:00:00Z,Swansea City,Huddersfield Town,2,0,Loose,1,0,H,P Tierney,7,7,3,2,5,3,12,16,1,5,0,0,Away
4262,2017-18,2017-10-21T00:00:00Z,Huddersfield Town,Manchester United,2,1,Win,2,0,H,L Mason,5,9,3,3,4,7,10,12,4,2,0,0,Home
4273,2017-18,2017-10-28T00:00:00Z,Liverpool,Huddersfield Town,3,0,Loose,0,0,D,K Friend,16,1,8,0,9,2,10,8,0,1,0,0,Away
4280,2017-18,2017-11-04T00:00:00Z,Huddersfield Town,West Bromwich Albion,1,0,Win,1,0,H,R East,7,9,3,3,3,5,8,15,1,4,1,0,Home
